Región,Comuna,Puntaje ICVU
Antofagasta,Antofagasta,51.14
Antofagasta,Calama,52.97
Araucanía,Angol,45.93
Araucanía,Padre las Casas,45.85
Araucanía,Temuco,52.07
Araucanía,Villarrica,46.79
Arica y Parinacota,Arica,48.12
Atacama,Copiapó,47.09
Atacama,Vallenar,42.87
Aysén,Coyhaique,52.05
Biobío,Chiguayante,51.5
Biobío,Concepción,56.58
Biobío,Coronel,50.28
Biobío,Hualpén,51.84
Biobío,Los Ángeles,48.13
Biobío,Lota,43.24
Biobío,Penco,44.41
Biobío,San Pedro de la Paz,53.59
Biobío,Talcahuano,51.68
Biobío,Tomé,45.86
Coquimbo,Coquimbo,50.62
Coquimbo,La Serena,54.01
Coquimbo,Ovalle,42.65
Los Lagos,Castro,47.39
Los Lagos,Osorno,47.19
Los Lagos,Puerto Montt,49.9
Los Lagos,Puerto Varas,52.79
Los Ríos,Valdivia,51.57
Magallanes,Punta    Arenas,55.09
Maule,Constitución,44.77
Maule,Curicó,49.86
Maule,Linares,46.16
Maule,Maule,41.9
Maule,Molina,41.6
Maule,San Javier,43.29
Maule,Talca,51.7
Metropolitana,Buin,46.93
Metropolitana,Cerrillos,46.83
Metropolitana,Cerro Navia,41.01
Metropolitana,Colina,51.49
Metropolitana,Conchalí,43.85
Metropolitana,El Bosque,43.47
Metropolitana,Estación Central,53.67
Metropolitana,Huechuraba,52.09
Metropolitana,Independencia,52.13
Metropolitana,La Cisterna,53.39
Metropolitana,La Florida,51.06
Metropolitana,La Granja,43.82
Metropolitana,La Pintana,38.98
Metropolitana,La Reina,59.79
Metropolitana,Lampa,49.58
Metropolitana,Las Condes,72.76
Metropolitana,Lo Barnechea,62.41
Metropolitana,Lo Espejo,39.7
Metropolitana,Lo Prado,45.34
Metropolitana,Macul,57.48
Metropolitana,Maipú,53.15
Metropolitana,Melipilla,44.73
Metropolitana,Ñuñoa,68.25
Metropolitana,Padre Hurtado,49.38
Metropolitana,Paine,45.06
Metropolitana,Pedro Aguirre Cerda,46.43
Metropolitana,Peñaflor,46.47
Metropolitana,Peñalolén,49.09
Metropolitana,Providencia,76.27
Metropolitana,Pudahuel,49.15
Metropolitana,Puente Alto,44.92
Metropolitana,Quilicura,56.23
Metropolitana,Quinta Normal,48.68
Metropolitana,Recoleta,45.54
Metropolitana,Renca,47.33
Metropolitana,San Bernardo,43.62
Metropolitana,San Joaquín,50.73
Metropolitana,San Miguel,56.47
Metropolitana,San Ramón,41.98
Metropolitana,Santiago,61.68
Metropolitana,Talagante,45.95
Metropolitana,Vitacura,78.09
Ñuble,Chillán,50.77
Ñuble,Chillán Viejo,46.12
Ñuble,San Carlos,45.13
O´Higgins,Machalí,53.11
O´Higgins,Rancagua,53.16
O´Higgins,Rengo,47.21
O´Higgins,San Fernando,45.23
O´Higgins,San Vicente,46.96
Tarapacá,Alto Hospicio,44.23
Tarapacá,Iquique,51.74
Valparaíso,Concón,61.68
Valparaíso,La Calera,47.35
Valparaíso,Limache,44.92
Valparaíso,Los Andes,50.62
Valparaíso,Quillota,49.47
Valparaíso,Quilpué,50.98
Valparaíso,San Antonio,48.44
Valparaíso,San Felipe,47.66
Valparaíso,Valparaíso,47.03
Valparaíso,Villa Alemana,49.06
Valparaíso,Viña del Mar,51.21
